HLA,alpha_min,alpha_max,beta_min,beta_max
HLA-A0101,15.430454910641688, 18.884595298863424,0.34055729423306597, 0.4060922128367178
HLA-A0201,13.00324100703555, 15.48646141818426,0.5581332527782469, 0.7682510750906263
HLA-A0202,9.620086056944139, 12.49528051931847,0.38297390060488484, 1.1678256833674745
HLA-A0203,10.490778717534601, 13.447149541376989,0.5900205587039273, 1.022440218084751
HLA-A0205,10.15909515322991, 19.968517361706542,0.337049726417443, 0.7988854079232997
HLA-A0206,9.523962492430476, 15.519477354608759,0.49269475516168476, 1.0704280576268308
HLA-A0207,12.600495147027825, 22.11676020729026,0.33408514315889287, 0.548476177618034
HLA-A0211,10.758905532440107, 19.422183348407064,0.4165094064137339, 0.7981199932596408
HLA-A0212,9.84307593233435, 14.105685098190294,0.2573119545117744, 0.541118934970695
HLA-A0216,12.31316049533219, 20.390727030665076,0.36558969143702824, 0.8139834361540899
HLA-A0217,11.956965163905485, 20.750351148473136,0.2863475534370908, 0.623684263004312
HLA-A0219,11.097587081793206, 18.791379496818212,0.24168329296024013, 0.6255970150359119
HLA-A0250,10.153391272251453, 18.58051639944535,0.31701281269743425, 0.83240770480959
HLA-A0301,12.89227017615099, 15.218760767646422,0.48652582832949465, 0.7229053214092258
HLA-A1101,11.649649916295406, 14.996861707313785,0.48746063979559767, 0.8204677210531997
HLA-A2301,10.73573477559844, 14.081143885143454,0.4728284850957619, 0.6666600262349456
HLA-A2402,13.837259509078299, 18.39807677088838,0.7875718471096399, 1.0968370131169878
HLA-A2403,12.694617957643487, 25.639009156525997,0.21487911267052448, 0.6427605959954364
HLA-A2501,17.760839303982866, 29.86762168669896,0.527109458457303, 1.0325156785749285
HLA-A2601,18.83404710978677, 28.312870288860882,0.46201006714482606, 0.7012382057164408
HLA-A2602,15.379011747712912, 25.558155205443533,0.38018256128539857, 0.8749612512440637
HLA-A2603,22.395671072159836, 34.319320656321196,0.533883817516154, 0.9313449534742078
HLA-A2902,13.011515794093347, 16.49982851866432,0.67253134562014, 0.942188819204791
HLA-A3001,14.453190029771374, 24.30084112405109,0.9098134866542522, 2.0168247884597124
HLA-A3002,14.357612326372527, 19.853923965498137,1.2015027239576368, 2.0060194686034176
HLA-A3101,12.44014621376449, 14.958427279418668,0.6426326324762984, 0.9577712624550357
HLA-A3201,10.474702546417634, 25.499279931375696,0.45156499861869004, 0.6828066699873635
HLA-A3301,12.002514819402935, 15.084428301721053,0.5311830668468029, 0.8996689769917783
HLA-A6601,23.645041764398886, 54.39004015142295,0.48867982937087145, 1.0539325189819224
HLA-A6801,11.107680629482996, 12.718406485454315,0.868942415954779, 1.1513989793060175
HLA-A6802,11.976402501078763, 18.54326958657163,0.850108056833361, 1.2247586122287906
HLA-A6823,10.574307948489327, 22.369027889071443,0.4340497940967861, 0.8362705854823278
HLA-A6901,11.364348608850278, 22.546582171051963,0.3045979599790275, 0.6225420490145763
HLA-A8001,19.43526522637655, 60.06630346499356,0.36885819729563013, 0.7747403897286846
HLA-B0701,24.991411751077763, 59.87613157351054,1.2225009975195789, 1.9813690549743534
HLA-B0702,13.820542918452023, 17.457412691984466,0.554419345191319, 0.7678696596210658
HLA-B0801,12.224242057574546, 18.727832398913478,0.8115588773663472, 1.1019971183488508
HLA-B0802,17.153259995262417, 38.92289057155622,0.7141416963913225, 0.9021484291280996
HLA-B0803,20.877969455755995, 72.18562041532242,0.7597580289545426, 1.3642022140439594
HLA-B1402,14.599296819003301, 39.807496412428556,0.632592055648448, 1.04186274583935
HLA-B1501,11.67309570554998, 13.779160793982177,0.8622209544716599, 1.142542973523641
HLA-B1502,12.30525612918318, 25.03524823827529,0.5028842128497891, 0.8865254507786658
HLA-B1503,11.114254568835754, 15.18649640821047,0.5956765007035751, 1.131134184721242
HLA-B1509,12.14087982000506, 25.15750255640068,0.4890480184141445, 0.7881798381771857
HLA-B1517,9.485256754738604, 12.07422322759589,0.21136356833303607, 0.5982461139935364
HLA-B1801,16.415317999281548, 25.130610204546052,0.812697501096672, 1.0456008363405351
HLA-B2702,44.104506914585755, 68.81304400627292,0.8501044339797353, 1.2420117460009894
HLA-B2703,17.175114608656514, 22.5398052754579,0.629156350782926, 1.0811640922623953
HLA-B2704,27.157071525961715, 40.82970525629134,0.8154515141572066, 1.16000960717323
HLA-B2705,14.716340567982657, 16.319797536085517,0.6090399418224712, 0.9646673856531286
HLA-B2706,26.291772351579958, 48.84541104087584,0.7059968899638818, 1.0057179535317968
HLA-B3501,11.05792351746726, 15.686480040711858,0.6009542755076693, 0.8274854411652721
HLA-B3503,11.156014471413172, 16.996140144603714,0.7186707058373545, 1.1809250024073223
HLA-B3701,12.204653937569237, 15.559008917421824,0.7191909808741715, 1.0561970642634309
HLA-B3801,13.856654833550428, 26.448660101312946,0.45621739817694607, 0.8768813511974015
HLA-B3901,12.131318225619454, 15.885221474426576,0.5151707105541554, 0.6881984042076952
HLA-B3906,29.475762600560543, 48.922646448138345,1.0744740238033337, 1.4664450663590103
HLA-B4001,11.061215668551545, 15.18859783899081,0.40092851941274715, 0.5581444447100163
HLA-B4002,12.964065462027797, 17.48134402766327,0.4305130084154886, 0.6595247543960782
HLA-B4201,14.877074159079905, 35.35422525125847,0.754328827949587, 1.0102734544081535
HLA-B4402,15.522651516516937, 19.70768040271984,0.6126340503412491, 0.798302804928044
HLA-B4403,12.399547717262744, 15.445159445330246,0.48392362259064275, 0.6023186016458024
HLA-B4501,15.897340697594917, 19.97481738454922,0.9246870176514975, 1.3657462217880638
